sample_index,pm25_pred,pm25_claimed,aqi_pred,aqi_claimed,category_pred,category_claimed,h1_number_match,h2_aqi_match,h3_category_ok,h4_feature_ok,h5_range_ok,h6_confidence_low,fabricated_features,out_of_range_values,avg_logprob,is_hallucination,notes
60,51.163719177246094,51.1637,140,140,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,True,True,True,True,False,[],[],-0.07221951083210874,False,
61,50.17240905761719,50.1724,137,137,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,True,True,True,True,False,[],[],-0.12415395727177628,False,
62,53.332820892333984,53.3328,145,145,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,True,True,True,True,False,[],[],-0.055353677094872315,False,
63,72.31867980957031,72.3187,160,160,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.10051992524128694,False,
64,57.42149353027344,57.4215,152,152,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.010272322027456192,False,
65,109.0368881225586,109.0369,179,179,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.06719042004450508,False,
66,78.94031524658203,78.9403,163,163,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.11543020354036022,False,
67,83.97589874267578,83.9759,166,166,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.07136423677899116,False,
68,90.53267669677734,90.5327,169,169,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.08489584562679132,False,
69,74.17131805419922,74.1713,161,161,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.0681226837952606,False,
70,77.16448974609375,77.1645,162,162,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.028955882801762166,False,
71,75.1067886352539,75.1068,161,161,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.025339968572810012,False,
72,80.30559539794922,80.3056,164,164,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.04193483193715413,False,
73,86.46485137939453,86.4649,167,167,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.0830599481372961,False,
74,95.7080078125,95.708,172,172,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.14327675356146166,False,
75,101.08045196533203,101.0805,175,175,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.057465732230671814,False,
76,135.93902587890625,135.939,193,193,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.03136843315192631,False,
77,153.40574645996094,153.4057,204,204,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.055368236739907345,False,
78,172.12747192382812,172.1275,222,222,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.08354324739203493,False,
79,173.96324157714844,173.9632,224,224,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.1162440987303853,False,
80,171.85316467285156,171.8532,222,222,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.09937911716903128,False,
81,210.81314086914062,210.8131,261,261,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.06694391066950511,False,
82,214.09439086914062,214.0944,264,264,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.07698216206497616,False,
83,218.03115844726562,218.0312,268,268,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.08539693860401368,False,
84,203.79249572753906,203.7925,254,254,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.1238056181977361,False,
85,218.23255920410156,218.2326,268,268,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.04091703634837578,False,
86,213.8195037841797,213.8195,264,264,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.043370061008066965,False,
87,210.3210906982422,210.3211,260,260,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.0977551435473664,False,
88,194.20274353027344,194.2027,244,244,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.10844521007190148,False,
89,218.921630859375,218.9216,269,269,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.11234384101061594,False,
90,179.72320556640625,179.7232,230,230,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.04748593664858952,False,
91,176.8937225341797,176.8937,227,227,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.1061870925507303,False,
92,170.35140991210938,170.3514,221,221,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.08238400845992856,False,
93,173.8675994873047,173.8676,224,224,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.0602975634873406,False,
94,180.32415771484375,180.3242,231,231,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.1282154199917142,False,
95,146.82638549804688,146.8264,198,198,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.04289511046979738,False,
96,149.8246307373047,149.8246,200,200,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.007374215097922199,False,
97,134.54574584960938,134.5457,192,192,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.00628336673637606,False,
98,104.3279800415039,104.328,176,176,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.04860011637210846,False,
99,147.79600524902344,147.796,199,199,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.059763391541332755,False,
